"pop_id","tile_id","year","pixel_id","x","y","Onset_Greenness_Increase","GLSP_QC","PGQ_Onset_Greenness_Increase","clc_code","QC_mandatory_quality","QC_climatology","QC_land_water","clc_name"
"Arija_2","h17v04",2013,15675,-321770.68160925,4781618.89063825,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15676,-321307.36889275,4781618.89063825,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15677,-320844.05617625,4781618.89063825,142,97,0,41,"processed, other quality","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15678,-320380.74345975,4781618.89063825,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15919,-322233.99432575,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15920,-321770.68160925,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15921,-321307.36889275,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15922,-320844.05617625,4781155.57792175,135,117,28,41,"processed, other quality","climatology fill 21-30%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15923,-320380.74345975,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,15924,-319917.43074325,4781155.57792175,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,16163,-322697.30704225,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,16164,-322233.99432575,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,16165,-321770.68160925,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,16166,-321307.36889275,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,16167,-320844.05617625,4780692.26520525,96,104,14,2,"processed, good quality","climatology fill 6-10%","shallow inland water","Discontinuous urban fabric"
"Arija_2","h17v04",2013,16168,-320380.74345975,4780692.26520525,134,108,57,41,"processed, good quality","climatology fill 11-15%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,16169,-319917.43074325,4780692.26520525,NA,99,NA,41,"not processed","climatology fill 0%","shallow inland water","Water bodies"
"Arija_2","h17v04",2013,16408,-322697.30704225,4780228.95248875,65,81,0,21,"processed, other quality","climatology fill 16-20%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2013,16409,-322233.99432575,4780228.95248875,67,85,0,21,"processed, other quality","climatology fill 21-30%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2013,16410,-321770.68160925,4780228.95248875,NA,67,NA,41,"not processed","climatology fill 0%","ocean/lake coastline","Water bodies"
"Arija_2","h17v04",2013,16411,-321307.36889275,4780228.95248875,63,89,0,41,"processed, other quality","climatology fill >31%","ocean/lake coastline","Water bodies"
"Arija_2","h17v04",2013,16412,-320844.05617625,4780228.95248875,78,76,0,27,"processed, good quality","climatology fill 11-15%","ocean/lake coastline","Moors and heathland"
"Arija_2","h17v04",2013,16413,-320380.74345975,4780228.95248875,81,48,0,27,"processed, good quality","climatology fill 16-20%","land","Moors and heathland"
"Arija_2","h17v04",2013,16414,-319917.43074325,4780228.95248875,122,40,42,27,"processed, good quality","climatology fill 6-10%","land","Moors and heathland"
"Arija_2","h17v04",2013,16415,-319454.11802675,4780228.95248875,52,57,0,26,"processed, other quality","climatology fill >31%","land","Natural grasslands"
"Arija_2","h17v04",2013,16653,-322697.30704225,4779765.63977225,79,44,0,21,"processed, good quality","climatology fill 11-15%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2013,16654,-322233.99432575,4779765.63977225,67,68,0,21,"processed, good quality","climatology fill 1-5%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2013,16655,-321770.68160925,4779765.63977225,70,76,0,21,"processed, good quality","climatology fill 11-15%","ocean/lake coastline","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2013,16656,-321307.36889275,4779765.63977225,72,80,0,20,"processed, good quality","climatology fill 16-20%","ocean/lake coastline","Complex cultivation patterns"
"Arija_2","h17v04",2013,16657,-320844.05617625,4779765.63977225,4,76,100,27,"processed, good quality","climatology fill 11-15%","ocean/lake coastline","Moors and heathland"
"Arija_2","h17v04",2013,16658,-320380.74345975,4779765.63977225,132,36,57,27,"processed, good quality","climatology fill 1-5%","land","Moors and heathland"
"Arija_2","h17v04",2013,16659,-319917.43074325,4779765.63977225,94,40,14,27,"processed, good quality","climatology fill 6-10%","land","Moors and heathland"
"Arija_2","h17v04",2013,16898,-322697.30704225,4779302.32705575,84,36,0,21,"processed, good quality","climatology fill 1-5%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2013,16899,-322233.99432575,4779302.32705575,76,40,0,21,"processed, good quality","climatology fill 6-10%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
"Arija_2","h17v04",2013,16900,-321770.68160925,4779302.32705575,69,36,0,21,"processed, good quality","climatology fill 1-5%","land","Land principally occupied by agriculture, with significant areas of natural vegetation"
