"pop_id","pixel_id","x","y","tile_id","clc_code","clc_name","Onset_Greenness_Increase_2013","Onset_Greenness_Increase_2014","Onset_Greenness_Increase_2015","Onset_Greenness_Increase_2016","Onset_Greenness_Increase_2017","Onset_Greenness_Increase_2018","Onset_Greenness_Increase_2019","Onset_Greenness_Increase_2020","Onset_Greenness_Increase_2021","Onset_Greenness_Increase_2022","Onset_Greenness_Increase_2023","GLSP_QC_2013","GLSP_QC_2014","GLSP_QC_2015","GLSP_QC_2016","GLSP_QC_2017","GLSP_QC_2018","GLSP_QC_2019","GLSP_QC_2020","GLSP_QC_2021","GLSP_QC_2022","GLSP_QC_2023","PGQ_Onset_Greenness_Increase_2013","PGQ_Onset_Greenness_Increase_2014","PGQ_Onset_Greenness_Increase_2015","PGQ_Onset_Greenness_Increase_2016","PGQ_Onset_Greenness_Increase_2017","PGQ_Onset_Greenness_Increase_2018","PGQ_Onset_Greenness_Increase_2019","PGQ_Onset_Greenness_Increase_2020","PGQ_Onset_Greenness_Increase_2021","PGQ_Onset_Greenness_Increase_2022","PGQ_Onset_Greenness_Increase_2023","QC_mandatory_quality_2013","QC_mandatory_quality_2014","QC_mandatory_quality_2015","QC_mandatory_quality_2016","QC_mandatory_quality_2017","QC_mandatory_quality_2018","QC_mandatory_quality_2019","QC_mandatory_quality_2020","QC_mandatory_quality_2021","QC_mandatory_quality_2022","QC_mandatory_quality_2023","QC_climatology_2013","QC_climatology_2014","QC_climatology_2015","QC_climatology_2016","QC_climatology_2017","QC_climatology_2018","QC_climatology_2019","QC_climatology_2020","QC_climatology_2021","QC_climatology_2022","QC_climatology_2023","QC_land_water_2013","QC_land_water_2014","QC_land_water_2015","QC_land_water_2016","QC_land_water_2017","QC_land_water_2018","QC_land_water_2019","QC_land_water_2020","QC_land_water_2021","QC_land_water_2022","QC_land_water_2023"
"Arija_2",15675,-321770.68160925,4781618.89063825,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",15676,-321307.36889275,4781618.89063825,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",15677,-320844.05617625,4781618.89063825,"h17v04",41,"Water bodies",142,117,101,102,102,61,142,81,108,103,46,97,101,96,96,96,96,108,108,104,116,116,0,71,14,0,85,14,71,100,28,85,85,"processed, other quality","processed, other quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","processed, good quality","climatology fill 0%","climatology fill 1-5%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 11-15%","climatology fill 11-15%","climatology fill 6-10%","climatology fill 21-30%","climatology fill 21-30%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",15678,-320380.74345975,4781618.89063825,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",15919,-322233.99432575,4781155.57792175,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",15920,-321770.68160925,4781155.57792175,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water"
"Arija_2",15921,-321307.36889275,4781155.57792175,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,99,99,99,99,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","ocean/lake coastline"
"Arija_2",15922,-320844.05617625,4781155.57792175,"h17v04",41,"Water bodies",135,101,141,59,75,36,89,104,126,112,44,117,116,99,101,96,104,99,99,113,104,80,28,14,85,57,100,28,100,42,0,57,100,"processed, other quality","processed, good quality","not processed","processed, other quality","processed, good quality","processed, good quality","not processed","not processed","processed, other quality","processed, good quality","processed, good quality","climatology fill 21-30%","climatology fill 21-30%","climatology fill 0%","climatology fill 1-5%","climatology fill 0%","climatology fill 6-10%","climatology fill 0%","climatology fill 0%","climatology fill 16-20%","climatology fill 6-10%","climatology fill 16-20%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","ocean/lake coastline"
"Arija_2",15923,-320380.74345975,4781155.57792175,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,67,67,99,67,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","ocean/lake coastline","ocean/lake coastline","shallow inland water","ocean/lake coastline","shallow inland water"
"Arija_2",15924,-319917.43074325,4781155.57792175,"h17v04",41,"Water bodies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,99,99,99,99,99,67,67,99,67,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","not processed","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","climatology fill 0%","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","shallow inland water","ocean/lake coastline","ocean/lake coastline","shallow inland water","ocean/lake coastline","shallow inland water"
